drwxrwxrwx   - yarn   hadoop          0 2015-10-20 13:26 /app-logs
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 13:26 /app-logs/ambari-qa
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:47 /app-logs/ambari-qa/logs
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 13:26 /app-logs/ambari-qa/logs/application_1445372734936_0001
-rw-r-----   2 ambari-qa hadoop        384 2015-10-20 13:26 /app-logs/ambari-qa/logs/application_1445372734936_0001/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       1530 2015-10-20 13:26 /app-logs/ambari-qa/logs/application_1445372734936_0001/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 13:29 /app-logs/ambari-qa/logs/application_1445372734936_0002
-rw-r-----   2 ambari-qa hadoop       1347 2015-10-20 13:29 /app-logs/ambari-qa/logs/application_1445372734936_0002/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       6919 2015-10-20 13:29 /app-logs/ambari-qa/logs/application_1445372734936_0002/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 13:30 /app-logs/ambari-qa/logs/application_1445372734936_0003
-rw-r-----   2 ambari-qa hadoop      23140 2015-10-20 13:30 /app-logs/ambari-qa/logs/application_1445372734936_0003/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 13:31 /app-logs/ambari-qa/logs/application_1445372734936_0004
-rw-r-----   2 ambari-qa hadoop       7571 2015-10-20 13:31 /app-logs/ambari-qa/logs/application_1445372734936_0004/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 22:25 /app-logs/ambari-qa/logs/application_1445404710533_0001
-rw-r-----   2 ambari-qa hadoop       5470 2015-10-20 22:25 /app-logs/ambari-qa/logs/application_1445404710533_0001/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       1764 2015-10-20 22:25 /app-logs/ambari-qa/logs/application_1445404710533_0001/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 22:26 /app-logs/ambari-qa/logs/application_1445404710533_0002
-rw-r-----   2 ambari-qa hadoop      11426 2015-10-20 22:26 /app-logs/ambari-qa/logs/application_1445404710533_0002/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       5508 2015-10-20 22:26 /app-logs/ambari-qa/logs/application_1445404710533_0002/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 22:27 /app-logs/ambari-qa/logs/application_1445404710533_0003
-rw-r-----   2 ambari-qa hadoop       9165 2015-10-20 22:27 /app-logs/ambari-qa/logs/application_1445404710533_0003/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop      15580 2015-10-20 22:27 /app-logs/ambari-qa/logs/application_1445404710533_0003/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 22:29 /app-logs/ambari-qa/logs/application_1445404710533_0004
-rw-r-----   2 ambari-qa hadoop      19913 2015-10-20 22:29 /app-logs/ambari-qa/logs/application_1445404710533_0004/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       5352 2015-10-20 22:29 /app-logs/ambari-qa/logs/application_1445404710533_0004/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-20 22:29 /app-logs/ambari-qa/logs/application_1445404710533_0005
-rw-r-----   2 ambari-qa hadoop       8169 2015-10-20 22:29 /app-logs/ambari-qa/logs/application_1445404710533_0005/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:05 /app-logs/ambari-qa/logs/application_1445411028192_0001
-rw-r-----   2 ambari-qa hadoop       1745 2015-10-21 00:05 /app-logs/ambari-qa/logs/application_1445411028192_0001/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop        352 2015-10-21 00:05 /app-logs/ambari-qa/logs/application_1445411028192_0001/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:05 /app-logs/ambari-qa/logs/application_1445411028192_0002
-rw-r-----   2 ambari-qa hadoop       8026 2015-10-21 00:05 /app-logs/ambari-qa/logs/application_1445411028192_0002/mure04.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:07 /app-logs/ambari-qa/logs/application_1445411028192_0003
-rw-r-----   2 ambari-qa hadoop       5354 2015-10-21 00:07 /app-logs/ambari-qa/logs/application_1445411028192_0003/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop      19956 2015-10-21 00:07 /app-logs/ambari-qa/logs/application_1445411028192_0003/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:07 /app-logs/ambari-qa/logs/application_1445411028192_0004
-rw-r-----   2 ambari-qa hadoop       2823 2015-10-21 00:07 /app-logs/ambari-qa/logs/application_1445411028192_0004/mure04.cloud.hortonworks.com_45454
-rw-r-----   2 ambari-qa hadoop       6160 2015-10-21 00:07 /app-logs/ambari-qa/logs/application_1445411028192_0004/mure05.cloud.hortonworks.com_45454
drwxrwx---   - ambari-qa hadoop          0 2015-10-21 00:08 /app-logs/ambari-qa/logs/application_1445411028192_0005
-rw-r-----   2 ambari-qa hadoop      23096 2015-10-21 00:08 /app-logs/ambari-qa/logs/application_1445411028192_0005/mure04.cloud.hortonworks.com_45454
